icao24,origin_country,velocity,on_ground
e48b6d,Brazil,121.27,False
e49e9e,Brazil,228.3,False
a9c8b5,United States,109.19,False
ac48ac,United States,241.58,False
a40da9,United States,137.99,False
a3572c,United States,243.2,False
aaf5a9,United States,75.62,False
4787a0,Norway,49.96,False
4bc885,Turkey,234.75,False
ab15c1,United States,239.72,False
4bc892,Turkey,244.84,False
aaf5b1,United States,260.6,False
4bc893,Turkey,223.9,False
c021c6,Canada,180.86,False
a75b5e,United States,234.56,False
a35744,United States,166.61,False
a11799,United States,35.72,False
a14ad4,United States,236.31,False
a2cda7,United States,73.94,False
a9b1f5,United States,48.37,False
44008f,Austria,257.01,False
452084,Bulgaria,206.69,False
a86925,United States,69.3,False
a86920,United States,223.54,False
c058b4,Canada,196.57,False
3c01c3,Germany,158.0,False
a4d620,United States,96.22,False
a4d624,United States,163.26,False
80187b,India,114.17,False
a2467a,United States,187.34,False
3d34d8,Germany,8.23,True
a47303,United States,197.39,False
a3796b,United States,7.2,True
440096,Austria,206.62,False
a54ff9,United States,256.66,False
4068f6,United Kingdom,197.21,False
a6294d,United States,58.14,False
c0208a,Canada,244.21,False
e072d4,Argentina,231.49,False
c058cb,Canada,241.74,False
a3fcd6,United States,95.25,False
a28cd7,United States,53.5,False
e072d6,Argentina,126.97,False
4bb475,Turkey,256.44,False
738063,Israel,119.0,False
738068,Israel,228.72,False
ab274c,United States,259.16,False
a10019,United States,76.33,False
a2463a,United States,73.55,False
73805c,Israel,206.74,False
44009e,Austria,210.03,False
ac340a,United States,223.82,False
a3fce7,United States,242.45,False
a22003,United States,187.97,False
a3661b,United States,57.85,False
a23333,United States,42.23,False
738075,Israel,244.18,False
738073,Israel,268.99,False
a1bcc1,United States,53.03,False
a66fdc,United States,27.82,False
702087,Bangladesh,4.89,True
a6ad9f,United States,5.4,True
440058,Austria,212.59,False
adb723,United States,106.24,False
a9c4e4,United States,73.95,False
44004f,Austria,210.22,False
44003b,Austria,1.03,True
abaaa8,United States,247.63,False
a04e00,United States,227.79,False
3453cc,Spain,227.24,False
440052,Austria,182.38,False
738051,Israel,230.64,False
738057,Israel,213.45,False
ac7aa9,United States,249.47,False
a9fa2e,United States,80.82,False
44006e,Austria,251.69,False
ac343c,United States,194.98,False
44006c,Austria,204.76,False
a11380,United States,190.43,False
70209a,Bangladesh,187.99,False
8733de,Japan,255.84,False
a3534a,United States,251.48,False
484fdf,Kingdom of the Netherlands,204.84,False
a3401a,United States,279.16,False
440083,Austria,86.79,False
440081,Austria,236.18,False
a74923,United States,234.95,False
484fde,Kingdom of the Netherlands,199.82,False
aaf459,United States,40.85,False
ab0144,United States,19.58,False
ad6755,United States,85.42,False
adfda3,United States,89.54,False
a1bcf5,United States,49.26,False
ad6758,United States,196.53,False
a3a302,United States,131.22,False
a2dce1,United States,271.67,False
a90d85,United States,76.37,False
a76a8c,United States,185.41,False
c2c31d,Canada,79.06,False
e80048,Chile,0.64,True
70209f,Bangladesh,243.7,False
440073,Austria,147.71,False
800584,India,288.61,False
70209b,Bangladesh,267.86,False
800588,India,1.03,True
ae1daa,United States,23.21,True
aa3b99,United States,64.71,False
00c77d,South Africa,116.46,False
aa3b92,United States,,True
a9c4ba,United States,55.11,False
c04688,Canada,204.4,False
c04681,Canada,0.0,True
440019,Austria,202.2,False
440018,Austria,215.33,False
a7101e,United States,205.53,False
adc8ee,United States,200.43,False
a83019,United States,60.37,False
ad52c2,United States,271.01,False
ae0b39,United States,55.91,False
adfe48,United States,99.1,False
a4c378,United States,56.32,False
a6f00d,United States,255.88,False
aa914f,United States,45.19,False
a9c631,United States,4.12,True
ae1e60,United States,146.98,False
a4c37e,United States,196.71,False
abab60,United States,59.99,False
a59398,United States,206.38,False
accb22,United States,202.93,False
a005c8,United States,246.27,False
440005,Austria,131.07,False
adb5b3,United States,24.27,False
ac32cf,United States,266.42,False
a8431a,United States,2.31,True
a258b7,United States,223.22,False
a018ee,United States,240.28,False
a6acdd,United States,41.83,False
ae1e50,United States,99.63,False
a9b310,United States,186.49,False
adc8e7,United States,208.09,False
c02044,Canada,103.95,False
a9895c,United States,90.88,False
a8b964,United States,146.71,False
a018c4,United States,91.57,False
440039,Austria,223.31,False
440037,Austria,211.73,False
a83037,United States,47.29,False
440036,Austria,182.65,False
a4b065,United States,0.0,True
a5939c,United States,272.34,False
c0203f,Canada,5.14,True
c0203e,Canada,184.43,False
aa3ae9,United States,198.84,False
ab5b8c,United States,238.3,False
ad9b5e,United States,207.38,False
a5e391,United States,35.51,False
a83029,United States,39.93,False
aa3ae5,United States,256.2,False
aa3ae2,United States,91.59,False
a47364,United States,4.37,True
a89cdc,United States,56.65,False
44001f,Austria,224.89,False
accb50,United States,185.95,False
a6acff,United States,46.54,False
478610,Norway,69.37,False
44001b,Austria,200.26,False
8a061d,Indonesia,225.85,False
a6f01c,United States,199.28,False
ada2cc,United States,146.91,False
a3a351,United States,50.51,False
ae1e8d,United States,106.61,False
adfe93,United States,143.63,False
adfe92,United States,150.16,False
adfe90,United States,148.12,False
a4c330,United States,226.26,False
a4b004,United States,36.97,False
a245b7,United States,47.33,True
a15b2f,United States,227.38,False
a9c606,United States,105.73,False
accb65,United States,121.4,False
a112b6,United States,58.67,False
a258ed,United States,147.53,False
a2de17,United States,255.22,False
a005fc,United States,40.95,False
47c1f7,Norway,239.48,False
a97630,United States,38.1,False
a96305,United States,81.92,False
a6acd9,United States,35.04,False
ab2718,United States,151.61,False
c0598f,Canada,52.45,False
a89caa,United States,47.62,False
a5d007,United States,248.75,False
140613,Russian Federation,27.86,False
ae0b93,United States,48.39,False
ad9b94,United States,221.27,False
adfe8f,United States,138.97,False
aa4dd2,United States,0.0,True
a5d00a,United States,60.82,False
a6034a,United States,67.63,False
c0464c,Canada,48.55,False
a1be10,United States,221.9,False
adfe8e,United States,133.74,False
a8a606,United States,54.65,False
aa3b05,United States,123.34,False
8016e1,India,211.36,False
a2cb33,United States,304.55,False
89611a,United Arab Emirates,266.17,False
a1be84,United States,54.64,False
c81b24,New Zealand,55.13,False
a40b24,United States,266.03,False
a1be72,United States,0.64,True
a4d5c7,United States,155.95,False
a4d5c9,United States,91.38,False
a1be79,United States,0.77,True
